country,year,sex,age_group,count
AD,2000,m,014,0.0
AE,2000,m,014,2.0
AF,2000,m,014,52.0
AG,2000,m,014,0.0
AL,2000,m,014,2.0
AM,2000,m,014,2.0
AN,2000,m,014,0.0
AO,2000,m,014,186.0
AR,2000,m,014,97.0
AS,2000,m,014,0.0
AD,2000,m,1524,0.0
AE,2000,m,1524,4.0
AF,2000,m,1524,228.0
AG,2000,m,1524,0.0
AL,2000,m,1524,19.0
AM,2000,m,1524,152.0
AN,2000,m,1524,0.0
AO,2000,m,1524,999.0
AR,2000,m,1524,278.0
AS,2000,m,1524,0.0
AD,2000,m,2534,1.0
AE,2000,m,2534,4.0
AF,2000,m,2534,183.0
AG,2000,m,2534,0.0
AL,2000,m,2534,21.0
AM,2000,m,2534,130.0
AN,2000,m,2534,1.0
AO,2000,m,2534,1003.0
AR,2000,m,2534,594.0
AS,2000,m,2534,0.0
AD,2000,m,3544,0.0
AE,2000,m,3544,6.0
AF,2000,m,3544,149.0
AG,2000,m,3544,0.0
AL,2000,m,3544,14.0
AM,2000,m,3544,131.0
AN,2000,m,3544,2.0
AO,2000,m,3544,912.0
AR,2000,m,3544,402.0
AS,2000,m,3544,0.0
AD,2000,m,4554,0.0
AE,2000,m,4554,5.0
AF,2000,m,4554,129.0
AG,2000,m,4554,0.0
AL,2000,m,4554,24.0
AM,2000,m,4554,63.0
AN,2000,m,4554,0.0
AO,2000,m,4554,482.0
AR,2000,m,4554,419.0
AS,2000,m,4554,1.0
AD,2000,m,5564,0.0
AE,2000,m,5564,12.0
AF,2000,m,5564,94.0
AG,2000,m,5564,0.0
AL,2000,m,5564,19.0
AM,2000,m,5564,26.0
AN,2000,m,5564,0.0
AO,2000,m,5564,312.0
AR,2000,m,5564,368.0
AS,2000,m,5564,1.0
AD,2000,m,65,0.0
AE,2000,m,65,10.0
AF,2000,m,65,80.0
AG,2000,m,65,1.0
AL,2000,m,65,16.0
AM,2000,m,65,21.0
AN,2000,m,65,0.0
AO,2000,m,65,194.0
AR,2000,m,65,330.0
AS,2000,m,65,0.0
AD,2000,,,0.0
AE,2000,,,0.0
AF,2000,,,0.0
AG,2000,,,0.0
AL,2000,,,0.0
AM,2000,,,0.0
AN,2000,,,0.0
AO,2000,,,0.0
AR,2000,,,0.0
AS,2000,,,0.0
AD,2000,f,014,0.0
AE,2000,f,014,3.0
AF,2000,f,014,93.0
AG,2000,f,014,1.0
AL,2000,f,014,3.0
AM,2000,f,014,1.0
AN,2000,f,014,0.0
AO,2000,f,014,247.0
AR,2000,f,014,121.0
AS,2000,f,014,0.0
